// 出現時間　出現座標(x,y)　速度(vx,vy)　HP　防御力　弾発射間隔　弾タイプ 弾速度 敵タイプ 弾の見た目タイプ
// 初期編隊
50,100,0,4,8,20,5,30,2,10,0,0
55,100,0,4,8,20,5,30,2,10,0,0
60,100,0,4,8,20,5,30,2,10,0,0
65,100,0,4,8,20,5,30,2,10,0,0
// 第二編隊
150,380,0,-4,8,20,5,30,2,10,0,0
155,380,0,-4,8,20,5,30,2,10,0,0
160,380,0,-4,8,20,5,30,2,10,0,0
165,380,0,-4,8,20,5,30,2,10,0,0
// 第三編隊
250,0,0,4,8,20,5,30,1,8,1,1
255,0,0,4,8,20,5,20,1,10,1,1
260,0,0,4,8,20,5,30,1,8,1,1
265,0,0,4,8,20,5,20,1,10,1,1
//　第四編隊
300,380,0,-4,8,20,5,30,1,8,1,1
305,380,0,-4,8,20,5,20,1,10,1,1
310,380,0,-4,8,20,5,30,1,8,1,1
315,380,0,-4,8,20,5,20,1,10,1,1
//　第五編隊
400,100,0,0,8,20,5,30,0,10,0,2
405,100,0,0,8,20,5,20,0,15,0,2
410,100,0,0,8,20,5,10,0,8,0,2
415,100,0,0,8,20,5,20,0,15,0,2
400,380,0,0,8,20,5,10,0,8,0,2
405,380,0,0,8,20,5,20,0,10,0,2
410,380,0,0,8,20,5,30,0,15,0,2
415,380,0,0,8,20,5,20,0,10,0,2
// 第六編隊
500,0,0,4,8,20,5,30,3,10,0,1
505,0,0,4,8,20,5,20,3,15,0,1
510,0,0,4,8,20,5,10,3,8,0,1
515,0,0,4,8,20,5,20,3,15,0,1
500,480,0,-4,8,20,5,10,3,8,0,1
505,480,0,-4,8,20,5,20,3,10,0,1
510,480,0,-4,8,20,5,30,3,15,0,1
515,480,0,-4,8,20,5,20,3,10,0,1
// 第七編隊
600,0,0,4,8,20,5,30,1,10,0,0
605,480,0,-4,8,20,5,20,1,15,0,0
610,0,0,4,8,20,5,10,1,8,0,0
615,480,0,-4,8,20,5,20,1,15,0,0
620,0,0,4,8,20,5,10,1,8,0,0
625,480,0,-4,8,20,5,20,1,10,0,0
630,0,0,4,8,20,5,30,1,15,0,0
635,480,0,-4,8,20,5,20,1,10,0,0
// 第八編隊
700,0,0,4,8,20,5,30,1,10,0,2
705,480,0,-4,8,20,5,20,1,15,0,2
710,100,0,0,8,20,5,10,1,8,0,2
715,380,0,0,8,20,5,20,1,15,0,2
720,0,0,4,8,20,5,10,1,8,0,2
725,480,0,-4,8,20,5,20,1,10,0,2
730,100,0,0,8,20,5,30,1,15,0,2
735,380,0,0,8,20,5,20,1,10,0,2
// 第九編隊
800,100,0,0,8,20,5,30,1,10,0,0
805,100,0,0,8,20,5,20,1,15,0,0
810,100,0,0,8,20,5,10,1,8,0,0
815,100,0,0,8,20,5,20,1,15,0,0
800,380,640,0,-8,20,5,10,1,8,0,0
805,380,640,0,-8,20,5,20,1,10,0,0
810,380,640,0,-8,20,5,30,1,15,0,0
815,380,640,0,-8,20,5,20,1,10,0,0

// ボス(test)
*,1000,830,970
